,기업명, ESG 종합등급,지배구조,사회,환경,평가연도
573,일양약품,B이하,B,B이하,B이하,2017
574,일정실업,B이하,C,B이하,B이하,2017
575,일진다이아,B이하,C,B이하,B이하,2017
576,일진디스플,B이하,C,B이하,B+,2017
577,일진머티리얼즈,B이하,B,B이하,B+,2017
578,일진전기,B이하,B,B이하,B이하,2017
579,일진홀딩스,B이하,B,B이하,B이하,2017
580,잇츠한불,B이하,B+,B이하,B이하,2017
581,자화전자,B이하,B,B이하,B이하,2017
582,전방,B이하,B,B이하,B이하,2017
583,제이에스코퍼레이션,B이하,B+,B이하,B이하,2017
584,제이준코스메틱,B이하,D,B이하,B이하,2017
585,제일기획,B이하,B,B이하,B이하,2017
586,제일연마,B이하,B+,B이하,B이하,2017
587,제일파마홀딩스,B이하,B,B이하,B이하,2017
588,제주은행,B+,A,B+,B이하,2017
589,제주항공,B이하,B+,B이하,B이하,2017
590,조광페인트,B이하,B,B이하,B이하,2017
591,조광피혁,B이하,B+,B이하,B이하,2017
592,조비,B이하,B,B이하,B이하,2017
593,조선내화,B+,B,B+,B+,2017
594,조선선재,B이하,C,B이하,B이하,2017
595,조일알미늄,B이하,B,B이하,B+,2017
596,조흥,B이하,B,B이하,B이하,2017
597,종근당,B이하,B+,B+,B이하,2017
598,종근당바이오,B이하,B,B이하,B이하,2017
599,종근당홀딩스,B이하,B+,B이하,B이하,2017
600,주연테크,B이하,C,B이하,B이하,2017
601,지엠비코리아,B이하,B,B이하,B이하,2017
602,지역난방공사,A,B+,A,A,2017
603,지코,B이하,C,B이하,B이하,2017
604,지투알,B이하,B+,B이하,B이하,2017
605,진도,B이하,B,B이하,B이하,2017
606,진양산업,B이하,B,B이하,B이하,2017
607,진양폴리우레탄,B이하,C,B이하,B이하,2017
608,진양홀딩스,B이하,B,B이하,B이하,2017
609,진양화학,B이하,B,B이하,B이하,2017
610,진원생명과학,B이하,B,B이하,B이하,2017
611,진흥기업,B+,B,B+,B+,2017
612,참엔지니어링,B이하,B,B이하,B이하,2017
613,천일고속,B이하,B+,B이하,B이하,2017
614,청호컴넷,B이하,B,B이하,B이하,2017
615,체시스,B이하,C,B이하,B이하,2017
616,카프로,B이하,B,B이하,B+,2017
617,케이씨,B+,B+,B+,B이하,2017
618,케이씨씨,B+,B,A,A,2017
619,케이씨티시,B이하,C,B+,B이하,2017
620,케이티,A,A,B+,A+,2017
621,케이티스,B이하,B+,B이하,B이하,2017
622,케이티스카이라이프,B이하,B+,B이하,B이하,2017
623,케이티앤지,A,A,A+,B+,2017
624,코리아써키트,B이하,B,B이하,B+,2017
625,코리아오토글라스,B이하,B,B이하,B+,2017
626,코리안리,B+,A,B이하,B이하,2017
627,코스맥스,B이하,B,B이하,B이하,2017
628,코스맥스비티아이,B이하,B,B이하,B이하,2017
629,코스모신소재,B이하,C,B이하,B+,2017
630,코스모화학,B이하,B,B이하,B+,2017
631,코아스,B이하,C,B이하,B이하,2017
632,코오롱,B이하,B,B+,B이하,2017
633,코오롱글로벌,B이하,B+,B이하,B이하,2017
634,코오롱머티리얼,B이하,B+,B이하,B이하,2017
635,코오롱인더,B이하,C,B+,B+,2017
636,코오롱플라스틱,B+,B+,B+,B+,2017
637,코웨이,B+,B,A+,A,2017
638,콤텍시스템,B이하,B,B이하,B이하,2017
639,쿠쿠홀딩스,B이하,B+,B이하,B이하,2017
640,크라운해태홀딩스,B이하,B,B+,B이하,2017
641,키움증권,B+,A,B이하,B이하,2017
642,키위미디어그룹,B이하,C,B이하,B이하,2017
643,태경산업,B이하,C,B이하,B이하,2017
644,태경화학,B이하,C,B이하,B이하,2017
645,태광산업,B이하,C,B이하,B이하,2017
646,태림포장,B이하,C,B이하,B이하,2017
647,태양금속공업,B이하,B,B이하,B+,2017
648,태영건설,B이하,B+,B이하,B이하,2017
649,태원물산,B이하,B,B이하,B이하,2017
650,태평양물산,B이하,B+,B+,B이하,2017
651,텔코웨어,B이하,B,B이하,B이하,2017
652,토니모리,B이하,B,B이하,B이하,2017
653,티비에이치글로벌,B이하,B,B이하,B이하,2017
654,티에이치엔,B이하,C,B이하,B이하,2017
655,티웨이홀딩스,B이하,C,B이하,B이하,2017
656,팀스,B이하,B,B이하,B이하,2017
657,파미셀,B이하,B,B이하,B이하,2017
658,팜스코,B이하,B+,B이하,B이하,2017
659,팬오션,B이하,B+,B이하,B이하,2017
660,퍼스텍,B이하,B,B이하,B이하,2017
661,퍼시스,B이하,B,B이하,B이하,2017
662,페이퍼코리아,B이하,C,B이하,B이하,2017
663,평화산업,B이하,B,B이하,B+,2017
664,평화홀딩스,B이하,B+,B이하,B이하,2017
665,포스코,A,A,A,A,2017
666,포스코강판,B+,B+,A,B+,2017
667,포스코대우,B+,B+,A,B이하,2017
668,폴루스바이오팜,B이하,C,B이하,B이하,2017
669,풀무원,A+,A+,A,A,2017
670,풍산,B+,B+,B이하,B+,2017
671,풍산홀딩스,B이하,B+,B이하,B이하,2017
672,필룩스,B이하,C,B+,B이하,2017
673,하나금융지주,A,A,A,B+,2017
674,하나투어,B이하,B+,B이하,B이하,2017
675,하이스틸,B이하,B,B이하,B이하,2017
676,하이트론씨스템즈,B이하,B,B이하,B이하,2017
677,하이트진로,B+,B,B+,B+,2017
678,하이트진로홀딩스,B이하,B+,B이하,B이하,2017
679,한국가스공사,B+,B+,B+,A,2017
680,한국공항,B이하,C,B이하,B이하,2017
681,한국금융지주,B이하,A,B이하,B이하,2017
682,한국내화,B이하,C,B이하,B이하,2017
683,한국단자공업,B이하,B+,B이하,B이하,2017
684,한국석유공업,B이하,B,B이하,B이하,2017
685,한국수출포장공업,B이하,B,B이하,B+,2017
686,한국쉘석유,B이하,B+,B이하,B이하,2017
687,한국유리공업,B이하,C,B이하,B+,2017
688,한국자산신탁,B이하,B+,B이하,B이하,2017
689,한국전력공사,B+,B+,A,B+,2017
690,한국전자홀딩스,B이하,C,B이하,B이하,2017
691,한국제지,B+,B,B+,B+,2017
692,한국종합기술,B이하,B+,B이하,B이하,2017
693,한국주강,B이하,C,B이하,B이하,2017
694,한국주철관공업,B이하,B,B이하,B이하,2017
695,한국철강,B+,B,B+,B+,2017
696,한국카본,B이하,C,B이하,B이하,2017
697,한국콜마,B이하,B,B이하,B이하,2017
698,한국콜마홀딩스,B이하,C,B이하,B이하,2017
699,한국타이어,B+,B+,B이하,A,2017
700,한국타이어월드와이드,B+,B+,A,B이하,2017
701,한국토지신탁,B이하,B+,B+,B이하,2017
702,한국프랜지공업,B이하,B,B이하,B+,2017
703,한국항공우주,B이하,B,B이하,B+,2017
704,한국화장품,B이하,B,B이하,B이하,2017
705,한국화장품제조,B이하,B,B이하,B이하,2017
706,한농화성,B이하,B,B이하,B이하,2017
707,한독,B+,B+,B이하,B+,2017
708,한라,B이하,B,B이하,B이하,2017
709,한라홀딩스,B이하,B,B이하,B이하,2017
710,한미글로벌,B이하,B,B이하,B이하,2017
711,한미반도체,B이하,B,B이하,B이하,2017
712,한미사이언스,B이하,D,B이하,B이하,2017
713,한미약품,B이하,C,B+,B이하,2017
714,한샘,B이하,C,B이하,B이하,2017
715,한섬,B이하,B,B이하,B이하,2017
716,한성기업,B이하,C,B이하,B이하,2017
717,한세실업,B이하,B+,B이하,B이하,2017
718,한세엠케이,B이하,B,B이하,B이하,2017
719,한세예스24홀딩스,B이하,C,B이하,B이하,2017
720,한솔로지스틱스,B이하,B,B이하,B이하,2017
721,한솔제지,A,B+,A,A,2017
722,한솔케미칼,B+,B+,B이하,B+,2017
723,한솔테크닉스,B+,B+,B이하,B+,2017
724,한솔피엔에스,B이하,B,B이하,B이하,2017
725,한솔홀딩스,B이하,B,B이하,B이하,2017
726,한솔홈데코,B+,B,B+,B+,2017
727,한신공영,B이하,C,B이하,B이하,2017
728,한신기계공업,B이하,B,B이하,B이하,2017
729,한양증권,B이하,B+,B이하,B이하,2017
730,한온시스템,B이하,B,B이하,B+,2017
731,한올바이오파마,B이하,B+,B이하,B이하,2017
732,한익스프레스,B이하,B,B이하,B이하,2017
