,기업명, ESG 종합등급,환경,사회,지배구조,평가연도
135,광명전기,C,C,B,D,2019
136,광전자,B,B,B,B,2019
137,광주신세계,B,D,B,B+,2019
138,교보증권,B,D,B+,B,2019
139,국도화학,C,B+,C,C,2019
140,국동,C,D,C,B,2019
141,국보,C,B,C,C,2019
142,국제약품,C,D,B,B,2019
143,그린케미칼,B,B,C,B,2019
144,극동유화,B,B,C,B,2019
145,금강공업,C,C,B,C,2019
146,금비,C,C,B,C,2019
147,금양,C,D,C,B,2019
148,금호건설,B,B,B,B,2019
149,금호석유화학,B+,B+,B+,B+,2019
150,금호에이치티,D,D,C,C,2019
151,금호전기,C,B,B+,C,2019
152,금호타이어,B+,B,B+,B+,2019
153,기신정기,C,D,C,B,2019
154,기아,B+,A,A,B,2019
155,기업은행,B+,B,A,B+,2019
156,까뮤이앤씨,C,D,C,B+,2019
157,깨끗한나라,B,B,B+,B,2019
158,남광토건,B,B,B,B,2019
159,남선알미늄,C,B,B+,C,2019
160,남성,C,D,C,B,2019
161,남양유업,B,C,B+,B,2019
162,남해화학,B+,B,B+,B+,2019
163,넥센,B,B,B,B,2019
164,넥센타이어,B,B+,B,B,2019
165,넷마블,B,D,B+,B,2019
166,노루페인트,C,C,B,B,2019
167,노루홀딩스,C,C,B,C,2019
168,녹십자,B+,B,A,B,2019
169,녹십자홀딩스,B+,C,A,B+,2019
170,농심,C,B+,B+,D,2019
171,농심홀딩스,B,B,B+,B,2019
172,다스코,B,C,C,B+,2019
173,다올투자증권,C,D,B,C,2019
174,다우기술,C,D,B+,C,2019
175,다이나믹디자인,D,D,D,C,2019
176,대교,B+,D,B+,A,2019
177,대구백화점,B,D,B,B+,2019
178,대덕,B,B,B+,B,2019
179,대동,B,B,B,B,2019
180,대동전자,C,B,C,C,2019
181,대림비앤코,C,C,B,B,2019
182,대림통상,C,B,B,C,2019
183,대상,B,B,B+,B,2019
184,대상홀딩스,B+,C,B+,B+,2019
185,대성산업,C,D,C,B,2019
186,대성에너지,B,B,B,B,2019
187,대성홀딩스,B,C,B+,B,2019
188,대신증권,B,C,B,B+,2019
189,대양금속,B,B,C,B,2019
190,대영포장,C,B,C,D,2019
191,대우건설,B+,B+,A,B+,2019
192,대우부품,C,D,C,B,2019
193,대우조선해양,B,B+,C,B+,2019
194,대웅,C,C,B+,C,2019
195,대웅제약,B,B,B+,B,2019
196,대원강업,B+,B,B+,B+,2019
197,대원전선,C,B,D,C,2019
198,대원제약,B,C,B+,B+,2019
199,대원화성,C,B,B,C,2019
200,대유에이텍,C,B,B,C,2019
201,대유플러스,C,C,D,C,2019
202,대창,C,B,C,C,2019
203,대창단조,B,B,C,B,2019
204,대한방직,C,C,C,B+,2019
205,대한유화,C,B,B+,C,2019
206,대한전선,B,B,C,B,2019
207,대한제강,B,B+,C,B+,2019
208,대한제당,C,C,C,B,2019
209,대한제분,B,C,B,B,2019
210,대한항공,B+,B+,A,B,2019
211,대한해운,C,D,B+,C,2019
212,대한화섬,B,B,B+,B,2019
213,대현,C,D,C,B+,2019
214,대호에이엘,C,B,C,D,2019
215,더블유게임즈,B,D,C,B+,2019
216,더존비즈온,C,D,B,C,2019
217,덕성,B,B,C,B,2019
218,덕양산업,B,B,B,B,2019
219,덴티움,C,D,C,B+,2019
220,도화엔지니어링,B,B,C,B+,2019
221,동국제강,B,B,B,B,2019
222,동남합성,C,D,C,B,2019
223,동방,C,B,C,C,2019
224,동방아그로,C,D,C,B,2019
225,동부건설,C,C,B,B,2019
226,동서,C,C,B,C,2019
227,동성제약,C,C,C,C,2019
228,동성케미컬,B+,B,B+,B+,2019
229,동아쏘시오홀딩스,B+,C,B+,A,2019
230,동아에스티,B+,B,A,B+,2019
231,동아지질,C,C,B,B,2019
232,동아타이어,C,C,C,B,2019
233,동양,C,C,D,C,2019
234,동양고속,B,C,B,B+,2019
235,동양생명,B,D,B+,B,2019
236,동양철관,C,C,C,C,2019
237,동양피스톤,B,B,B,B+,2019
238,동원F&B,B,C,B,B,2019
239,동원금속,B,B,B,B,2019
240,동원산업,B,C,B+,B,2019
241,동원수산,C,D,B,B,2019
242,동원시스템즈,C,B,B+,C,2019
243,동일고무벨트,B,B,B,B,2019
244,동일산업,B,B+,C,B+,2019
245,동일제강,C,C,C,B,2019
246,동화약품,C,C,B+,C,2019
247,두산,A,A,A+,A,2019
248,두산밥캣,B,D,B,A,2019
249,두산에너빌리티,A,A,A+,A,2019
250,두산퓨얼셀,-,-,-,-,2019
251,두올,B,C,B,B+,2019
252,드림텍,-,-,-,-,2019
253,디씨엠,C,C,C,B,2019
254,디아이,C,B,C,C,2019
255,디아이동일,C,D,C,B,2019
256,디아이씨,C,C,C,B,2019
257,디와이,C,C,C,B+,2019
258,디와이파워,C,D,C,B,2019
259,디티알오토모티브,C,B,D,B,2019
260,락앤락,B,B,B+,B,2019
261,롯데관광개발,C,D,B,D,2019
262,롯데손해보험,B+,C,A,B+,2019
263,롯데쇼핑,A,A,A,A,2019
264,롯데정밀화학,A,B+,A+,A,2019
265,롯데정보통신,-,-,-,-,2019
266,롯데제과,A,A,A,B+,2019
267,롯데지주,B+,B,A,B+,2019
268,롯데칠성음료,B+,B+,A,B,2019
269,롯데케미칼,B,C,A,B+,2019
270,롯데푸드,B+,B+,A,B+,2019
271,롯데하이마트,A,B+,A+,B+,2019
272,마니커,C,D,B,C,2019
273,만도,B+,B+,A,B+,2019
274,만호제강,B,C,B,B+,2019
275,메리츠금융지주,B+,D,B+,A,2019
276,메리츠증권,B+,C,B+,A,2019
277,메리츠화재,B,D,B+,B+,2019
278,메타랩스,C,D,C,B,2019
279,명문제약,B,C,B,B,2019
280,모나리자,B,B,B,B,2019
281,모나미,C,D,C,C,2019
282,모토닉,B,C,B,B+,2019
283,무림P&P,B+,B+,B+,B,2019
284,무림페이퍼,B+,B+,B+,B,2019
285,무학,C,B,C,C,2019
286,문배철강,C,D,C,B,2019
287,미래산업,B,B,B,B,2019
288,미래아이앤지,C,D,C,B,2019
289,미래에셋생명,B,D,B+,B,2019
290,미래에셋증권,B+,B+,A,B+,2019
291,미원상사,C,D,C,B,2019
292,미원에스씨,C,C,C,B,2019
293,미원홀딩스,C,C,C,B,2019
294,미원화학,C,D,B,C,2019
295,미창석유공업,C,C,C,B+,2019
296,방림,B,B,C,B,2019
297,백광산업,C,B,C,C,2019
298,백산,C,B,B,C,2019
299,범양건영,D,D,C,C,2019
300,벽산,B,B,B,B,2019
301,보락,C,D,C,C,2019
302,보령,B,C,B,B,2019
303,보해양조,B,B,B,B,2019
304,부광약품,B,C,C,B+,2019
305,부국증권,C,D,B,C,2019
306,부국철강,C,D,C,B,2019
307,부산산업,D,D,D,C,2019
308,부산주공,C,B,D,C,2019
309,비비안,C,D,B,B,2019
310,비상교육,B,D,B+,B+,2019
311,비케이탑스,C,D,C,B,2019
312,빙그레,A,B+,A,A,2019
313,사조대림,C,D,B,C,2019
314,사조동아원,C,D,B,B,2019
315,사조산업,C,D,B,D,2019
316,사조씨푸드,C,D,C,C,2019
317,사조오양,C,D,B,C,2019
318,삼부토건,C,C,B,B,2019
319,삼성SDI,A,B+,A+,B+,2019
320,삼성공조,C,C,C,B,2019
321,삼성물산,A,A+,A,A,2019
322,삼성바이오로직스,B+,C,A,B+,2019
323,삼성생명,B+,A,A,B+,2019
324,삼성에스디에스,B+,B+,A,B+,2019
325,삼성엔지니어링,A,A,A+,A,2019
326,삼성전기,A,A,A+,A,2019
327,삼성전자,B+,B+,B+,B,2019
328,삼성제약,C,B,C,D,2019
329,삼성중공업,B+,B+,B+,B+,2019
330,삼성증권,B+,B,A,B,2019
331,삼성출판사,C,D,C,C,2019
332,삼성카드,B,D,B+,B+,2019
333,삼성화재해상보험,A,A+,A+,A,2019
334,삼아알미늄,B,B+,C,B,2019
335,삼양사,B+,B+,B+,B,2019
336,삼양식품,C,C,B,D,2019
337,삼양통상,B,B,C,B,2019
338,삼양패키징,B+,B,B+,B+,2019
339,삼양홀딩스,C,B,B+,D,2019
340,삼영무역,C,D,C,C,2019
341,삼영전자공업,B,B,B+,B,2019
342,삼영화학공업,B,B,C,B,2019
343,삼원강재,B,B,C,B,2019
344,삼익THK,C,B,B,C,2019
345,삼익악기,C,D,C,C,2019
346,삼일씨엔에스,B+,B,B+,B+,2019
347,삼일제약,C,C,C,B,2019
348,삼정펄프,C,C,B,C,2019
349,삼진제약,B,D,B+,B,2019
350,삼천리,B+,B,A,B+,2019
351,삼호개발,C,D,C,B,2019
352,삼화왕관,B,B+,C,B,2019
353,삼화전기,C,C,C,B,2019
354,삼화전자공업,C,D,B,B,2019
355,삼화콘덴서공업,B,B,B,B,2019
356,삼화페인트공업,B+,B,B+,B+,2019
357,상상인증권,C,D,B,D,2019
358,상신브레이크,B,B,B,B,2019
359,새론오토모티브,C,B,C,C,2019
360,샘표,C,B,B+,C,2019
361,샘표식품,B+,B+,B+,B,2019
362,서연,B+,C,B+,B+,2019
363,서연이화,B+,B,B+,B+,2019
364,서울도시가스,B,C,B+,B,2019
365,서울식품공업,C,B,B,C,2019
366,서원,B,B,C,B,2019
367,서흥,C,C,C,C,2019
368,선도전기,C,B,B,C,2019
369,선진,B,D,B,B+,2019
370,성문전자,C,C,C,C,2019
371,성보화학,C,D,B,B,2019
372,성신양회,B,B,C,B,2019
373,성안,D,D,C,C,2019
374,성창기업지주,C,D,C,C,2019
375,세기상사,B,D,B,B,2019
376,세방,C,B,B,C,2019
377,세방전지,B,B+,B,B,2019
378,세아베스틸지주,C,B,B,C,2019
379,세아제강,-,-,-,-,2019
380,세아제강지주,B,D,B,B,2019
381,세아특수강,B,B,C,B,2019
382,세아홀딩스,B,C,B,B,2019
383,세우글로벌,C,B,C,C,2019
384,세원이앤씨,C,B,C,C,2019
385,세원정공,D,C,C,D,2019
386,세이브존I&C,C,D,C,C,2019
387,세종공업,C,B,B,D,2019
388,세진중공업,B,D,B,B+,2019
389,세하,B,B+,B,B,2019
390,센트랄모텍,-,-,-,-,2019
391,센트럴인사이트,B,B,C,B,2019
392,셀트리온,B+,B,B,B+,2019
393,솔루스첨단소재,-,-,-,-,2019
394,송원산업,C,B,B+,C,2019
395,수산중공업,B,B,B,B,2019
396,스틱인베스트먼트,B,D,B,B+,2019
397,시디즈,C,D,C,C,2019
398,신대양제지,C,C,B,C,2019
399,신도리코,B+,B,B+,B+,2019
400,신라교역,C,D,B,C,2019
401,신성이엔지,B,B,B,B,2019
402,신성통상,D,D,D,C,2019
403,신세계,B+,B+,A,B+,2019
404,신세계I&C,B+,B,B+,B+,2019
405,신세계건설,B,C,B,B+,2019
406,신세계인터내셔날,B+,B,A,B+,2019
407,신세계푸드,B+,B,B+,B+,2019
408,신송홀딩스,B,D,B,B,2019
409,신영와코루,C,D,B,C,2019
410,신영증권,B,C,B,B+,2019
411,신원,D,D,C,D,2019
412,신일전자,C,D,B,B,2019
413,신풍제약,B,C,B,B+,2019
414,신풍제지,B+,B+,B,B+,2019
415,신한지주,A+,A+,B+,A+,2019
416,신흥,B,D,B,B,2019
417,쌍방울,C,D,B,C,2019
418,쌍용씨앤이,B+,B+,B+,B+,2019
419,쌍용자동차,B,B+,B,B,2019
420,써니전자,C,C,B,B,2019
421,쎌마테라퓨틱스,C,D,C,C,2019
422,씨아이테크,C,D,C,C,2019
423,씨에스윈드,B,B,C,B+,2019
424,아남전자,C,C,C,C,2019
425,아모레퍼시픽,A,A,A+,B+,2019
426,아모레퍼시픽그룹,A,A,A+,B+,2019
427,아세아,C,B,B,C,2019
428,아세아시멘트,B,A,A,C,2019
429,아세아제지,B,B,C,B,2019
430,아센디오,C,D,B,C,2019
431,아시아나IDT,-,-,-,-,2019
432,아시아나항공,B,B+,B+,C,2019
433,아이마켓코리아,B,D,B+,B+,2019
434,아이에스동서,C,B,D,B,2019
435,아이에이치큐,B,D,C,B+,2019
436,알루코,C,C,B,B,2019
437,애경산업,-,-,-,-,2019
438,애경케미칼,B,B+,C,B,2019
439,에넥스,C,B,B+,C,2019
440,에스디바이오센서,-,-,-,-,2019
441,에스엘,C,B,B+,D,2019
442,에스엠벡셀,C,C,C,B,2019
443,에스원,B+,B,B+,B+,2019
444,에스제이엠,C,C,B,B,2019
445,에스제이엠홀딩스,B,C,B,B+,2019
446,에스케이바이오팜,-,-,-,-,2019
447,에쓰씨엔지니어링,C,B,C,C,2019
448,에어부산,-,-,-,-,2019
449,에이블씨엔씨,D,D,C,C,2019
450,에이엔피,C,B,C,D,2019
451,에이프로젠 MED,C,B,D,C,2019
452,에이프로젠제약,D,C,C,D,2019
453,엔씨소프트,B,D,B,B+,2019
454,엔에이치엔,B,D,B,B+,2019
455,엔케이,C,B,C,D,2019
456,엔피씨,C,C,C,C,2019
457,엘에스일렉트릭,A,A,A,A,2019
458,엠씨넥스,-,-,-,-,2019
459,영보화학,B,B,B,B,2019
460,영원무역,C,D,C,B,2019
461,영원무역홀딩스,C,D,C,B,2019
462,영진약품,B,C,B,B,2019
463,영풍,D,D,C,C,2019
464,영풍제지,C,B,C,C,2019
465,영화금속,C,C,C,B,2019
466,영흥,C,C,B,B,2019
467,예스코홀딩스,B,D,B+,B+,2019
468,오뚜기,B+,B+,A,B+,2019
469,오리엔트바이오,B,B,B,B,2019
470,오리온,B+,B,B,B+,2019
471,오리온홀딩스,B+,C,B+,B+,2019
472,와이투솔루션,C,B,B,C,2019
473,용평리조트,B,B,B,B,2019
474,우리금융지주,-,-,-,-,2019
475,우리종금,C,D,C,C,2019
476,우성,C,D,B,C,2019
477,우신시스템,B,B,C,B,2019
478,우진,B,B,B,B,2019
479,우진아이엔에스,-,-,-,-,2019
480,우진플라임,B,B,B,B,2019
481,웅진,C,D,B,C,2019
482,웅진씽크빅,B,D,B,B+,2019
483,원림,C,D,C,B,2019
484,웰바이오텍,C,D,C,C,2019
485,윌비스,C,D,C,C,2019
486,유나이티드,B+,B,A,B,2019
487,유니드,B,B,C,B,2019
488,유니온,C,C,B+,C,2019
489,유니온머티리얼,C,C,B,B,2019
490,유니켐,B,B,C,B+,2019
491,유니퀘스트,B,D,C,B+,2019
492,유성기업,C,B,B,C,2019
493,유수홀딩스,B,D,B+,B+,2019
494,유안타증권,B,D,B,B,2019
495,유엔젤,C,B,C,C,2019
496,유유제약,B,B,C,B+,2019
497,유진증권,C,D,C,B,2019
498,유한양행,B+,B+,B+,B+,2019
499,유화증권,D,D,C,D,2019
500,율촌화학,B,C,B+,B+,2019
501,이건산업,C,C,C,C,2019
502,이구산업,B,B,C,B,2019
503,이노션,B+,C,B+,B+,2019
504,이마트,B+,B+,A,B+,2019
505,이수페타시스,B,B+,B+,C,2019
506,이수화학,C,B,B,C,2019
507,이스타코,C,D,C,C,2019
508,이아이디,D,D,D,C,2019
509,이엔플러스,C,B,C,C,2019
510,이연제약,B,C,B,B+,2019
511,이월드,C,D,C,C,2019
512,이화산업,C,C,C,C,2019
513,인디에프,C,D,B,C,2019
514,인바이오젠,B,D,B,B,2019
515,인스코비,C,B,B,C,2019
516,인지컨트롤스,C,B,B,C,2019
517,인천도시가스,B,D,B,B+,2019
518,인터지스,B+,B,B+,B+,2019
519,인팩,C,C,B,B,2019
520,일동제약,B+,C,A,A,2019
521,일동홀딩스,B+,C,A,B+,2019
522,일성건설,C,B,C,C,2019
523,일성신약,B,C,B,B,2019
524,일신방직,C,C,C,B+,2019
525,일신석재,D,D,C,C,2019
526,일양약품,B,C,B,B,2019
527,일정실업,C,B,C,C,2019
528,일진다이아,C,C,B,B,2019
529,일진디스플,B,B,C,B,2019
530,일진머티리얼즈,B,B,B,B,2019
531,일진전기,C,B,D,B,2019
532,일진홀딩스,C,C,D,B,2019
533,잇츠한불,B,B,B,B,2019
534,자이에스앤디,-,-,-,-,2019
535,자화전자,B,B,B,B,2019
536,전방,C,C,B,C,2019
537,제이에스코퍼레이션,C,D,C,B+,2019
538,제이준코스메틱,C,D,C,B,2019
539,제일기획,B,D,B+,B+,2019
540,제일약품,C,D,B,B,2019
541,제일연마,C,C,D,B+,2019
542,제일파마홀딩스,B,D,B,B,2019
543,제주은행,B+,C,B+,B+,2019
544,제주항공,B,C,B,B+,2019
545,조광페인트,C,C,B,B,2019
546,조광피혁,B,B,B,B,2019
547,조비,C,D,B,C,2019
548,조선내화,B,B,B,B,2019
549,조선선재,C,D,C,B,2019
550,조일알미늄,C,B,C,C,2019
551,조흥,B,B,C,B,2019
552,종근당,B,C,B+,B,2019
553,종근당바이오,C,B,B,C,2019
554,종근당홀딩스,B,C,B+,B,2019
555,주연테크,C,C,B,C,2019
556,지누스,-,-,-,-,2019
557,지엠비코리아,C,C,C,B,2019
558,지역난방공사,B+,B+,A,B,2019
559,지투알,B,D,B+,B+,2019
560,진도,C,D,C,C,2019
561,진양산업,C,D,C,B,2019
562,진양폴리우레탄,D,D,C,C,2019
563,진양홀딩스,B,D,C,B+,2019
564,진양화학,D,D,C,C,2019
565,진에어,B,C,C,B+,2019
566,진원생명과학,C,C,C,C,2019
567,진흥기업,B,B,B,B,2019
568,참엔지니어링,C,B,B,D,2019
569,천일고속,B,C,B,B+,2019
570,체시스,C,C,B,B,2019
571,초록뱀헬스케어,C,D,B,C,2019
572,카카오,B,D,B+,B+,2019
573,카카오뱅크,-,-,-,-,2019
574,카프로,B,B,B,B,2019
575,컨버즈,D,C,C,D,2019
576,케이비아이동국실업,C,B,C,C,2019
577,케이씨,B,B,B+,B,2019
578,케이씨씨,B,B+,A,C,2019
579,케이씨텍,B,B,B+,B,2019
580,케이씨티시,B,B,B+,B,2019
581,케이티,B+,A,B,B+,2019
582,케이티스카이라이프,B+,C,B+,B+,2019
583,케이티앤지,A+,B+,A+,A+,2019
584,코리아써키트,C,B,B,C,2019
585,코리안리,B,D,B,B+,2019
586,코스맥스,B,B,B,B,2019
587,코스맥스비티아이,B,C,B,B+,2019
588,코스모신소재,B+,B+,B,B+,2019
589,코스모화학,C,B,C,C,2019
590,코아스,B,B,C,B,2019
591,코오롱,C,C,B,C,2019
592,코오롱글로벌,B,C,B,B+,2019
593,코오롱인더,B+,B+,B+,B+,2019
594,코오롱플라스틱,B+,B+,B+,B+,2019
595,코웨이,A,A+,A,B+,2019
596,콘텐트리중앙,C,D,B,C,2019
597,콤텍시스템,C,D,B,C,2019
598,쿠쿠홀딩스,C,D,C,B,2019
599,쿠쿠홈시스,-,-,-,-,2019
600,큐로,B,B,C,B,2019
601,크라운제과,B,D,B+,B,2019
602,크라운해태홀딩스,B,D,B+,B,2019
603,크래프톤,-,-,-,-,2019
604,키다리스튜디오,B,B,B,B,2019
605,키움증권,B,D,B,B,2019
606,태경비케이,C,C,D,B,2019
607,태경산업,C,C,C,B,2019
608,태경케미컬,D,D,C,C,2019
609,태광산업,C,C,B+,C,2019
610,태림포장,C,B,C,C,2019
611,태양금속공업,B,B+,B,B,2019
612,태영건설,B,C,B,B+,2019
613,태원물산,C,C,C,B,2019
614,태평양물산,C,D,B+,B,2019
615,테이팩스,C,C,B,C,2019
616,텔코웨어,C,D,C,B,2019
617,토니모리,C,D,C,B+,2019
618,티비에이치글로벌,B,C,B+,B,2019
619,티에이치엔,C,C,B,B,2019
620,티웨이항공,-,-,-,-,2019
621,티웨이홀딩스,C,D,B,D,2019
622,티케이지휴켐스,B,B,B+,B,2019
623,파미셀,B,B,C,B,2019
624,팜스코,B,D,B,B+,2019
625,팜젠사이언스,C,C,B,C,2019
626,팬오션,B,B,C,B+,2019
627,퍼스텍,B,B,B,B,2019
628,퍼시스,B,B,B,B,2019
629,페이퍼코리아,C,B,B,C,2019
630,평화산업,B,B,B,B,2019
631,평화홀딩스,B,C,B,B,2019
632,포스코스틸리온,B+,B+,A,B+,2019
633,포스코인터내셔널,A+,A,A+,A+,2019
634,포스코케미칼,B+,B,B+,B+,2019
635,풀무원,A+,A,A+,A+,2019
636,풍산,B+,B+,B+,B+,2019
637,풍산홀딩스,B+,B,B+,B+,2019
638,플레이그램,C,D,C,C,2019
639,하나금융지주,A,A,A,A,2019
640,하나제약,-,-,-,-,2019
641,하나투어,B,D,B,B,2019
642,하이브,-,-,-,-,2019
643,하이스틸,C,C,C,C,2019
644,하이트론씨스템즈,C,D,C,B,2019
645,하이트진로,B,B,B+,B,2019
646,하이트진로홀딩스,B,C,B+,B,2019
647,한국가스공사,A,B+,A+,B+,2019
648,한국공항,B,C,B,B,2019
649,한국금융지주,B,D,B+,B+,2019
650,한국내화,D,D,C,D,2019
651,한국단자공업,C,C,C,C,2019
652,한국석유공업,C,C,B,B,2019
653,한국수출포장공업,C,B+,D,C,2019
654,한국쉘석유,C,C,C,B+,2019
655,한국앤컴퍼니,B+,B+,A+,B,2019
656,한국자산신탁,C,D,C,C,2019
657,한국전력공사,B+,B,B+,B+,2019
658,한국전자홀딩스,B,C,B,B,2019
659,한국조선해양,A,A,B+,A,2019
660,한국종합기술,B,B,C,B+,2019
661,한국주강,C,D,C,C,2019
662,한국주철관공업,C,C,C,B,2019
663,한국철강,B,B+,C,B+,2019
664,한국카본,B,B,B,B,2019
665,한국콜마,B,B,B,B,2019
666,한국콜마홀딩스,B+,B,B,B+,2019
667,한국타이어앤테크놀로지,B+,A,A+,B,2019
668,한국토지신탁,C,D,C,C,2019
669,한국특강,-,-,-,-,2019
670,한국프랜지공업,C,B,B,C,2019
671,한국항공우주,A,B+,A+,A,2019
672,한국화장품,B,D,B,B,2019
673,한국화장품제조,C,C,B,C,2019
674,한농화성,B,B,C,B,2019
675,한독,B+,B+,B+,B+,2019
676,한라,B,B,B,B,2019
677,한라홀딩스,B+,B,B+,B+,2019
678,한미글로벌,B+,B,B,B+,2019
679,한미반도체,C,D,C,B,2019
680,한미사이언스,C,B,A,D,2019
681,한미약품,B+,B+,A+,B,2019
682,한샘,B+,B,B+,B+,2019
683,한섬,B,D,A,B+,2019
684,한성기업,C,D,B,C,2019
685,한세실업,B,C,B,B+,2019
686,한세엠케이,C,C,C,B+,2019
687,한세예스24홀딩스,B,C,B,B,2019
688,한솔로지스틱스,B+,B,B+,A,2019
689,한솔제지,A,A,A,A,2019
690,한솔케미칼,C,B,B,C,2019
691,한솔테크닉스,B+,B,B+,A,2019
692,한솔피엔에스,B,D,B+,B+,2019
